pvalue,0.08431203
mouse_life_stage,E18.5
gene_symbol,Lpgat1
parameter_name,Forebrain
mouse_strain,C57BL
parameter_id,IMPC_GEL_028_001
analysis_id,46p7bw7j9wvlewr
gene_accession_id,MGI:2446186
