parameter_id,JAXLA_DXA_003_001
parameter_name,Lean mass
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,h482d310z7tjaeq
gene_accession_id,MGI:2444554
pvalue,0.3549877
gene_symbol,Mapkap1
