parameter_name,Center distance travelled
parameter_id,JAX_OFD_014_001
gene_symbol,Ncaph
pvalue,0.447914
analysis_id,r3pc82162ls3q2b
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
mouse_strain,C57BL
