parameter_name,Lean/Body weight
parameter_id,ESLIM_005_001_702
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_strain,C57BL
analysis_id,2u9501jma0ue72k
mouse_life_stage,Early adult
pvalue,0.9665976
