parameter_name,Latency to center entry
mouse_strain,C57BL
analysis_id,b3f97903zb5k6u1
gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
pvalue,0.6708108
parameter_id,IMPC_OFD_018_001
