parameter_name,Ventral coat/hair presence
gene_accession_id,MGI:95457
mouse_strain,C57BL
parameter_id,MGP_CSD_025_001
pvalue,0.693687
analysis_id,6w4q3cb15t70a50
gene_symbol,Mecom
mouse_life_stage,E12.5
