gene_symbol,Zc2hc1a
mouse_strain,C57BL
pvalue,0.6713367
analysis_id,118eh3e2v9jssnk
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_036_001
parameter_name,% Pre-pulse inhibition - PPI4
gene_accession_id,MGI:1914556
