gene_symbol,Tbl1xr1
mouse_strain,C57BL
pvalue,0.6055841
parameter_name,Prepulse inhibition - PP4
gene_accession_id,MGI:2441730
parameter_id,ESLIM_011_001_704
analysis_id,4ci0z0oyh7780wr
mouse_life_stage,Late adult
