gene_symbol,Steap3
pvalue,0.7479348
analysis_id,5s90804t62j4p1p
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_OFD_017_001
parameter_name,Center average speed
