parameter_name,Femur
gene_symbol,Nanp
gene_accession_id,MGI:1914561
mouse_life_stage,E18.5
analysis_id,05cwvy5a74hgd11
mouse_strain,C57BL
parameter_id,IMPC_XRY_024_001
pvalue,0.1359232
