analysis_id,y890gkho5109437
mouse_life_stage,Early adult
gene_symbol,Pld1
gene_accession_id,MGI:109585
parameter_name,CD8 CD44-CD62L+ T cells
mouse_strain,C57BL
pvalue,0.6063001
parameter_id,IMPC_IMM_034_001
