parameter_name,Basophil differential count
parameter_id,IMPC_HEM_038_001
gene_accession_id,MGI:99605
mouse_strain,C57BL
pvalue,0.3813789
mouse_life_stage,Early adult
gene_symbol,Cntfr
analysis_id,9923j76635r15eq
