analysis_id,0mlunbua99zi7g2
pvalue,0.9924352
parameter_name,Pericardium Morphology
gene_symbol,Amigo1
mouse_strain,C57BL
parameter_id,IMPC_GEL_006_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
