analysis_id,ty264ac7s830iyz
parameter_name,Latency to center entry
gene_accession_id,MGI:1345282
pvalue,0.6902437
mouse_strain,C57BL
gene_symbol,Slc30a4
parameter_id,IMPC_OFD_018_001
mouse_life_stage,Early adult
