gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
pvalue,0.5251667
parameter_id,IMPC_OFD_016_001
mouse_strain,C57BL
analysis_id,vltphkchr1zs1u8
parameter_name,Center permanence time
mouse_life_stage,Middle aged adult
