parameter_name,Eye
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_001
pvalue,0.2099667
analysis_id,067t9ffa5jq11x6
gene_accession_id,MGI:3026886
gene_symbol,Cdin1
mouse_strain,C57BL
