parameter_name,Lean/Body weight
mouse_strain,C57BL
gene_symbol,Dnajc5b
mouse_life_stage,Early adult
pvalue,0.9423096
gene_accession_id,MGI:1913576
parameter_id,ESLIM_005_001_702
analysis_id,zhdz8796i7h48sy
