parameter_name,Pericardium Morphology
gene_symbol,Sgip1
parameter_id,IMPC_GEL_006_001
gene_accession_id,MGI:1920344
pvalue,0.4238852
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,pdz0k75y7o52h08
