analysis_id,xn4op049kprj01h
parameter_name,CD8 CD44-CD62L+ T cells
parameter_id,IMPC_IMM_034_001
mouse_strain,C56BL
gene_accession_id,MGI:1934811
mouse_life_stage,Late adult
gene_symbol,Nucks1
pvalue,0.8593118
