gene_symbol,Slc45a3
parameter_name,Bone Area
analysis_id,gxd3u3bd70629hn
mouse_strain,C57BL
pvalue,0.1099654
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_010_001
gene_accession_id,MGI:1922082
