analysis_id,24rgz41d05242t0
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
pvalue,0.4101708
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_064_001
parameter_name,B1B Cells
mouse_strain,C57BL
