parameter_name,Spleen weight
parameter_id,UCD_OWT_003_001
analysis_id,9677xj5598zl675
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
mouse_strain,C57BL
pvalue,0.70591
gene_symbol,Kif24
