parameter_name,Percent time in light
gene_accession_id,MGI:1933159
parameter_id,JAX_LDT_009_001
pvalue,0.9415462
mouse_life_stage,Early adult
analysis_id,3rc9l67gc4m2380
gene_symbol,Rnf114
mouse_strain,C57BL
