analysis_id,zd92wi73ep8kop2
pvalue,0.1405209
gene_symbol,Mov10
gene_accession_id,MGI:97054
mouse_strain,C57BL
parameter_id,IMPC_CBC_012_001
parameter_name,Aspartate aminotransferase
mouse_life_stage,Early adult
