gene_symbol,Uckl1
pvalue,0.6462199
parameter_id,MGP_IMM_101_001
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:1915806
analysis_id,90z0rxk0v6x0073
mouse_strain,C57BL
