analysis_id,4w2b2u8j9686307
gene_symbol,Rab3gap2
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_003_001
pvalue,0.9661669
parameter_name,Chloride
gene_accession_id,MGI:1916043
mouse_strain,C57BL
