parameter_id,HMGULA_HWT_008_001
gene_accession_id,MGI:109356
analysis_id,s56zvz6n6i37uru
mouse_strain,C57BL
parameter_name,Heart weight
pvalue,0.7720274
gene_symbol,Snap23
mouse_life_stage,Early adult
