analysis_id,u59cdhq84650l71
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
pvalue,0.5241984
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
gene_symbol,Cdin1
parameter_id,MGP_IMM_078_001
