analysis_id,62fa4e7e67t1j1x
pvalue,0.8352435
gene_symbol,Mms22l
mouse_strain,C57BL
parameter_id,IMPC_OFD_011_001
parameter_name,Periphery resting time
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
