analysis_id,09fc1304u12871g
gene_accession_id,MGI:2444554
mouse_life_stage,E15.5
pvalue,0.6114061
mouse_strain,C57BL
parameter_name,Eosinophil cell count
gene_symbol,Mapkap1
parameter_id,IMPC_HEM_036_001
