analysis_id,9532q6s8fx8jd21
pvalue,0.1400627
gene_accession_id,MGI:2139447
parameter_id,IMPC_ABR_002_001
gene_symbol,Galnt13
parameter_name,Click-evoked ABR threshold
mouse_life_stage,Late adult
mouse_strain,C55BL
