gene_symbol,Mgst2
gene_accession_id,MGI:2448481
parameter_name,Ly6Clow monocyte number
pvalue,0.656498
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_038_001
analysis_id,gn54nge61p2d9jt
