parameter_name,% Freezing duration pre-cue-2
mouse_strain,129SV
gene_accession_id,MGI:1923959
parameter_id,ICS_FEA_019_001
analysis_id,qg8wl6jf1ehb3s8
pvalue,1.114349
mouse_life_stage,Early adult
gene_symbol,Arpc2
