parameter_id,JAXLA_OFD_007_001
analysis_id,a2qk9eft87nqxse
gene_symbol,Dnajc6
parameter_name,Whole arena resting time
pvalue,0.08025859
gene_accession_id,MGI:1919935
mouse_strain,C57BL
mouse_life_stage,Early adult
