parameter_name,Response amplitude - S
mouse_strain,C57BL
analysis_id,2ri463x4jk149v7
gene_accession_id,MGI:3045306
pvalue,0.4275071
mouse_life_stage,Early adult
gene_symbol,Exd1
parameter_id,IMPC_ACS_006_001
