analysis_id,0fjpo8qr63riiqd
parameter_name,Mean left eye lens density
mouse_strain,C57BL
gene_symbol,Clvs1
gene_accession_id,MGI:1921688
parameter_id,IMPC_EYE_056_001
pvalue,0.1942638
mouse_life_stage,Early adult
