parameter_name,Eosinophil differential count
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_035_001
analysis_id,1j68ottg11zoc55
pvalue,0.4119586
mouse_strain,B6J
