analysis_id,78j780y3oqijmaq
parameter_name,Periphery permanence time
gene_symbol,Bcs1l
mouse_life_stage,E12.5
parameter_id,JAX_OFD_012_001
mouse_strain,C57BL
gene_accession_id,MGI:1914071
pvalue,0.4774901
