analysis_id,g5861cl318m15xd
parameter_id,IMPC_CBC_013_001
mouse_life_stage,Early adult
gene_symbol,Traf6
gene_accession_id,MGI:108072
pvalue,0.9529277
mouse_strain,C57BL
parameter_name,Alanine aminotransferase
