analysis_id,905fk225z75t89v
mouse_strain,C57BL
parameter_id,IMPC_IMM_055_001
gene_accession_id,MGI:1931322
parameter_name,NK Subsets (Q2)
pvalue,0.1313558
mouse_life_stage,Early adult
gene_symbol,Car13
