analysis_id,gi54397jgfen2ks
parameter_id,MGP_IMM_004_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1070188
gene_symbol,Tbl1xr1
parameter_name,Total CD4+ T cells - % of ab T cells
gene_accession_id,MGI:2441730
