analysis_id,ccr35677k80yb1i
mouse_life_stage,Early adult
gene_symbol,Gja10
parameter_id,IMPC_CSD_016_001
mouse_strain,C57BL
parameter_name,Coat - hair texture / appearance - abdomen
gene_accession_id,MGI:1339969
pvalue,0.4833895
