analysis_id,3tv1np253ip7890
gene_accession_id,MGI:1860103
pvalue,0.2693035
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_015_001
parameter_name,Total cholesterol
mouse_strain,C57BL
gene_symbol,Slc2a8
