gene_symbol,Ssr2
pvalue,0.1822855
parameter_name,Hindlimb digit - size
parameter_id,IMPC_CSD_047_001
gene_accession_id,MGI:1913506
analysis_id,92d9p6p86hphfp9
mouse_strain,C57BL
mouse_life_stage,Early adult
