analysis_id,ie034fd4z36694c
mouse_life_stage,Middle aged adult
parameter_id,MGP_MLN_093_001
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:2140475
gene_symbol,AU040320
mouse_strain,C51BL
pvalue,0.176271
