analysis_id,l2c8p3k2662qac5
parameter_name,Average duration
parameter_id,JAX_ROT_002_001
gene_symbol,Morn5
mouse_strain,C57BL
pvalue,0.1073004
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
