analysis_id,7156717hw130804
parameter_id,IMPC_XRY_021_001
parameter_name,Humerus
mouse_life_stage,Early adult
pvalue,0.9916405
gene_accession_id,MGI:1915524
mouse_strain,C57BL
gene_symbol,Toporsl
