analysis_id,u6521h9z69uolf6
mouse_strain,C57BL
parameter_id,UCD_OWT_003_001
pvalue,0.4782354
parameter_name,Spleen weight
mouse_life_stage,Early adult
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
