analysis_id,s615jj812c9479z
gene_accession_id,MGI:1921493
pvalue,0.8560481
mouse_strain,C57BL
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
mouse_life_stage,Early adult
gene_symbol,Slx4ip
parameter_id,IMPC_IMM_004_002
