parameter_id,IMPC_FEA_106_001
gene_symbol,Pld1
pvalue,0.9724778
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
analysis_id,gvsgcorycv566xq
gene_accession_id,MGI:109585
