gene_symbol,Rab17
analysis_id,if21yblp950y399
parameter_id,IMPC_XRY_064_001
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
pvalue,0.5432359
mouse_strain,C57BL
parameter_name,Thoracic processes
