parameter_name,Eyelid morphology
mouse_strain,C57BL
parameter_id,IMPC_EYE_004_001
analysis_id,19f93979813q28s
gene_accession_id,MGI:1860103
mouse_life_stage,Early adult
gene_symbol,Slc2a8
pvalue,0.779228
