gene_symbol,AU040320
analysis_id,3l1z9e52ar75q19
parameter_id,ESLIM_011_001_002
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
parameter_name,PP1 startle magnitude
pvalue,0.1369574
mouse_strain,C57BL
