analysis_id,hp02t76s92e4766
mouse_life_stage,Early adult
parameter_name,Right kidney weight
gene_accession_id,MGI:1924054
mouse_strain,C55BL
pvalue,0.9295248
gene_symbol,Kdm4c
parameter_id,IMPC_OWT_004_001
