analysis_id,y1q0305lfap950e
pvalue,0.2404566
parameter_id,IMPC_GPP_004_001
parameter_name,Placenta Size
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
mouse_strain,C57BL
gene_symbol,Kdm5b
