gene_symbol,Trim46
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_018_001
analysis_id,yf6jqi6t91q9gp6
mouse_strain,C57BL
pvalue,0.6976989
parameter_name,Latency to center entry
gene_accession_id,MGI:2673000
