analysis_id,r0fx683o851x058
gene_symbol,Hpca
parameter_name,Heart weight
gene_accession_id,MGI:1336200
parameter_id,HMGULA_HWT_008_001
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.8764431
