analysis_id,5in37nvb3t4pf39
gene_symbol,Tbl1xr1
mouse_strain,C57BL
pvalue,0.9698569
gene_accession_id,MGI:2441730
parameter_name,Delayed embryonic development
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_063_001
