Analysis_id,log2666j2ek05kc
Parameter_name,Humerus
Pvalue,0.5074342
Mouse_life_stage,Early adult
Gene_symbol,Fgb
Parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
Gene_accession_id,MGI:99501
