analysis_id,c807g5qi9l61opw
mouse_life_stage,Early adult
pvalue,0.9652997
gene_accession_id,MGI:2181659
parameter_name,NK cell number
gene_symbol,Tox
mouse_strain,C57BL
parameter_id,MGP_PBI_027_001
