analysis_id,5jnd6dca2pm95m9
parameter_name,Ly6Clow monocyte percentage
mouse_strain,C57BL
parameter_id,MGP_PBI_018_001
gene_accession_id,MGI:1917810
gene_symbol,Wars2
pvalue,0.1328108
mouse_life_stage,Early adult
