parameter_name,Body length
gene_accession_id,MGI:2448481
pvalue,0.0840411
parameter_id,IMPC_DXA_006_001
mouse_strain,C57BL
analysis_id,705sgg6vk8j0g84
mouse_life_stage,Early adult
gene_symbol,Mgst2
