analysis_id,4t8xd087q341xm1
mouse_strain,C56BL
parameter_name,Phosphorus
pvalue,0.4843074
parameter_id,IMPC_CBC_010_001
gene_accession_id,MGI:88328
gene_symbol,Tnfsf8
mouse_life_stage,Early adult
