gene_symbol,Nemp2
gene_accession_id,MGI:2444113
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,x1gv687u265479s
parameter_id,MGP_IMM_078_001
parameter_name,Resting Treg cells - % of CD45+
pvalue,0.799445
